service,device_type,timestamp,pixel,fps,pv,surprise
CV,AGX,2024-07-31 09:58:56.682076,720,15,0.8259884160161168,1179.061951036132
CV,AGX,2024-07-31 09:59:26.896772,720,15,0.8300822508397062,594.2569903258009
CV,AGX,2024-07-31 09:59:57.257285,480,5,0.8142577324438621,859.7065792427534
CV,AGX,2024-07-31 10:00:28.411830,480,5,0.7992686276934287,2630.4658047908556
CV,AGX,2024-07-31 10:00:58.492228,480,25,0.639414902154743,99.0793147327802
CV,AGX,2024-07-31 10:02:14.647715,1080,5,0.5328457517956191,4.1588830833596715
CV,AGX,2024-07-31 10:02:16.732384,1080,5,0.5678360412216418,149.7291481990974
CV,AGX,2024-07-31 10:02:18.810360,480,5,0.5968565360689366,155.14588124829692
CV,AGX,2024-07-31 10:02:20.961417,480,5,0.5442565642972166,302.83219430045926
CV,AGX,2024-07-31 10:02:23.078577,720,20,0.49625183533479583,270.5209507536039
CV,AGX,2024-07-31 10:02:25.223309,720,20,0.47485344714230454,275.80246438701414
CV,AGX,2024-07-31 10:02:27.330488,1080,15,0.45611565988044583,241.72105181996437
CV,AGX,2024-07-31 10:02:29.511128,1080,15,0.4856452245050269,246.1417245816114
CV,AGX,2024-07-31 10:02:31.622261,720,15,0.5006457208913139,227.84997262094015
CV,AGX,2024-07-31 10:02:33.756914,720,15,0.5169734815103939,238.38112304393334
CV,AGX,2024-07-31 10:02:35.848212,720,15,0.5352876389159942,154.71691295899424
CV,AGX,2024-07-31 10:02:37.902006,480,5,0.5495517647313932,146.8551435834612
CV,AGX,2024-07-31 10:02:40.043449,480,5,0.5214315794547639,253.2432244483096
CV,AGX,2024-07-31 10:02:42.178615,1080,25,0.4939878121150395,219.1407360923214
CV,AGX,2024-07-31 10:02:44.266483,1080,25,0.5052884215092875,151.9107447823181
CV,AGX,2024-07-31 10:02:46.337185,480,5,0.5240842109612263,152.40077112732519
CV,AGX,2024-07-31 10:02:48.480135,480,5,0.5317489437963221,233.93514994651423
CV,AGX,2024-07-31 10:02:50.637091,720,15,0.5336729027616994,247.98859688175784
CV,AGX,2024-07-31 10:02:52.777298,720,15,0.5306365318132952,254.6559876966949
CV,AGX,2024-07-31 10:02:54.905521,720,15,0.5386418397715326,234.76168872962768
