service,device_type,timestamp,pixel,fps,pv,surprise
CV,Laptop,2024-07-30 20:37:34.051611,720,15,0.0,263.91884613851164
CV,Laptop,2024-07-30 20:37:34.051657,720,15,0.40319999999999995,288.23408427769846
CV,Laptop,2024-07-30 20:37:34.051674,480,5,0.5221333333333332,244.8091685344703
CV,Laptop,2024-07-30 20:37:34.051689,480,5,0.41069722222222216,193.22725158915733
CV,Laptop,2024-07-30 20:37:34.051703,1080,5,0.3285577777777777,202.83254281644483
CV,Laptop,2024-07-30 20:37:34.051716,1080,5,0.2737981481481481,278.4594196975252
CV,Laptop,2024-07-30 20:37:34.051729,480,25,0.23468412698412694,253.3321142970768
CV,Laptop,2024-07-30 20:37:34.051742,480,25,0.20534861111111108,122.06890356574132
CV,Laptop,2024-07-30 20:37:34.051756,1080,25,0.18253209876543208,113.7644110581477
CV,Laptop,2024-07-30 20:37:34.051769,1080,25,0.25427888888888883,151.48298835786625
CV,Laptop,2024-07-30 20:37:34.051782,480,5,0.23388989898989895,181.09906717998092
CV,Laptop,2024-07-30 20:37:34.051796,720,10,0.21439907407407402,161.9435869361924
CV,Laptop,2024-07-30 20:37:34.051809,720,10,0.19790683760683755,143.95876654145806
CV,Laptop,2024-07-30 20:37:34.051822,720,15,0.1837706349206349,146.88823811631102
CV,Laptop,2024-07-30 20:37:34.051835,720,15,0.17151925925925923,155.6684822902547
CV,Laptop,2024-07-30 20:37:34.051848,720,5,0.16079930555555555,140.81340935990548
CV,Laptop,2024-07-30 20:37:34.051861,720,5,0.17251699346405228,168.33725398009898
CV,Laptop,2024-07-30 20:37:34.051874,480,5,0.20737716049382715,151.20006227984243
CV,Laptop,2024-07-30 20:37:34.051887,480,5,0.214006432748538,122.86635420451742
CV,Laptop,2024-07-30 20:37:34.051900,1080,5,0.2033061111111111,113.00960449849076
CV,Laptop,2024-07-30 20:37:34.051913,1080,5,0.23360135214579658,237.01638159485967
CV,Laptop,2024-07-30 20:37:34.051926,480,10,0.25781269320590255,3728.764174166281
CV,Laptop,2024-07-30 20:37:34.051938,480,5,0.26761365063190434,310.98909377904
CV,Laptop,2024-07-30 20:37:34.051951,480,10,0.29604641518890834,202.63816494011576
CV,Laptop,2024-07-30 20:37:34.051964,480,10,0.3161159159220723,195.75028359281197
CV,Laptop,2024-07-30 20:37:34.051977,480,10,0.33857299607891567,189.76752476829677
CV,Laptop,2024-07-30 20:37:34.051990,480,10,0.35927425271331714,189.27574926479753
CV,Laptop,2024-07-30 20:37:34.052003,480,10,0.3553716008306987,229.59566854153798
CV,Laptop,2024-07-30 20:37:34.052015,480,10,0.36441051114688144,209.208925998553
CV,Laptop,2024-07-30 20:37:34.052027,480,10,0.3785792835823363,195.0985292720221
CV,Laptop,2024-07-30 20:37:34.052040,480,10,0.386286403466777,207.9944155037095
CV,Laptop,2024-07-30 20:37:34.052053,480,10,0.40382021651633504,191.54207694605168
CV,Laptop,2024-07-30 20:37:34.052066,480,10,0.42029137422955615,196.74000675450765
CV,Laptop,2024-07-30 20:37:34.052078,480,10,0.43424565269648874,192.57813004643708
CV,Laptop,2024-07-30 20:37:34.052091,480,10,0.44898149119087477,187.02960708304064
CV,Laptop,2024-07-30 20:37:34.052103,480,10,0.4572854063709374,198.2422108803827
CV,Laptop,2024-07-30 20:37:34.052116,480,10,0.4624939089014526,204.160160759576
CV,Laptop,2024-07-30 20:37:34.052128,480,10,0.45196775340404594,185.1212069881866
CV,Laptop,2024-07-30 20:37:34.052141,480,10,0.4422021984734579,276.14585731708684
