service,device_type,timestamp,pixel,fps,pv,surprise
LI,AGX,2024-07-31 12:20:32.529424,double,15,0.0,159.02446403600996
LI,AGX,2024-07-31 12:20:37.667330,single,5,0.48,101.1375032160805
LI,AGX,2024-07-31 12:20:42.841607,single,25,0.32,263.9244797515443
LI,AGX,2024-07-31 12:20:47.963552,double,25,0.24,169.8984973401839
LI,AGX,2024-07-31 12:20:53.096112,double,5,0.32,127.44616153256534
LI,AGX,2024-07-31 12:20:58.255172,single,25,0.26666666666666666,225.53794352914286
LI,AGX,2024-07-31 12:21:03.422228,single,20,0.2285714285714286,262.66346640367686
LI,AGX,2024-07-31 12:21:08.581115,single,20,0.2,258.3505301669526
LI,AGX,2024-07-31 12:21:13.743094,single,20,0.17777777777777778,243.43057361329676
LI,AGX,2024-07-31 12:21:18.893446,single,20,0.16,227.55580305342968
LI,AGX,2024-07-31 12:21:24.047577,single,15,0.14545454545454548,226.79175751534018
LI,AGX,2024-07-31 12:21:29.210910,single,20,0.13333333333333333,221.0054482237461
LI,AGX,2024-07-31 12:21:34.364197,single,20,0.12307692307692308,219.69833221714904
LI,AGX,2024-07-31 12:21:39.526313,single,25,0.1142857142857143,214.716779034957
LI,AGX,2024-07-31 12:21:44.681567,single,20,0.10666666666666667,221.92858873272638
LI,AGX,2024-07-31 12:21:49.818296,single,15,0.1,231.75658719453446
LI,AGX,2024-07-31 12:21:54.967554,single,10,0.09551820728291316,255.05442669978908
LI,AGX,2024-07-31 12:22:00.114190,single,10,0.09153439153439152,250.66764870653492
LI,AGX,2024-07-31 12:22:05.235253,single,10,0.09283674302034155,238.39361183439016
LI,AGX,2024-07-31 12:22:10.384196,single,10,0.08935769656699889,246.16830007059846
LI,AGX,2024-07-31 12:22:15.543141,single,10,0.08623635500711913,238.08506073503713
LI,AGX,2024-07-31 12:22:20.730040,single,10,0.0895479256472914,226.98642056332
LI,AGX,2024-07-31 12:22:25.893163,single,10,0.0896990269588854,228.29272620112405
LI,AGX,2024-07-31 12:22:31.046844,single,10,0.08695363099432867,229.2208716413396
LI,AGX,2024-07-31 12:22:36.191998,single,10,0.08719641598711365,223.24490103860717
LI,AGX,2024-07-31 12:22:41.328825,single,10,0.09170984054704985,213.40412047421847
LI,AGX,2024-07-31 12:22:46.478445,single,10,0.09007684821638309,220.1874504159812
LI,AGX,2024-07-31 12:22:51.606628,single,10,0.09018207705915347,217.45325107994975
LI,AGX,2024-07-31 12:22:56.779576,single,10,0.08867619950218186,219.94197790836748
LI,AGX,2024-07-31 12:23:01.937558,single,10,0.09026578073089701,213.4281364786903
LI,AGX,2024-07-31 12:23:07.091270,single,10,0.08808711918239301,222.0836542179398
LI,AGX,2024-07-31 12:23:12.250154,single,10,0.08533439670794322,215.27853782159178
LI,AGX,2024-07-31 12:23:17.407595,single,10,0.08415794916852,213.21521527119936
LI,AGX,2024-07-31 12:23:22.567879,single,15,0.08168271536944588,220.96429651355587
LI,AGX,2024-07-31 12:23:27.722621,single,10,0.08067782715623248,211.80854909938455
LI,AGX,2024-07-31 12:23:32.884665,single,15,0.07843677640189269,222.78112579948666
LI,AGX,2024-07-31 12:23:38.026224,single,20,0.07631686352616586,215.1642416110107
LI,AGX,2024-07-31 12:23:43.160181,single,10,0.07675650542847606,206.66793369716683
LI,AGX,2024-07-31 12:23:48.312289,single,10,0.07478838990466899,209.4514878219763
LI,AGX,2024-07-31 12:23:53.460385,single,15,0.07291868015705225,217.71822908321627
LI,AGX,2024-07-31 12:23:58.572991,single,20,0.0711401757629778,207.19204202373572
LI,AGX,2024-07-31 12:24:03.717671,single,10,0.07055378176640635,207.93879995399521
LI,AGX,2024-07-31 12:24:08.831849,single,15,0.06891299614393179,216.35911863941317
LI,AGX,2024-07-31 12:24:13.971773,single,25,0.06734679168611515,211.0671556797764
LI,AGX,2024-07-31 12:24:19.126167,single,10,0.06837544884056512,205.11651650450983
LI,AGX,2024-07-31 12:24:24.283402,single,15,0.06688902603968327,215.12105000703596
LI,AGX,2024-07-31 12:24:29.423514,single,10,0.0659724408858501,204.55747252732766
LI,AGX,2024-07-31 12:24:34.574739,single,20,0.06459801503406154,209.11535440384347
LI,AGX,2024-07-31 12:24:39.718698,single,10,0.06470351354072285,203.4656244852594
LI,AGX,2024-07-31 12:24:44.856637,single,20,0.06340944326990838,208.1024248062473
LI,AGX,2024-07-31 12:24:49.971002,single,15,0.06216612085285136,210.57128872435743
LI,AGX,2024-07-31 12:24:55.087039,single,20,0.06097061852875806,210.49994191081657
LI,AGX,2024-07-31 12:25:00.203098,single,10,0.06157538526998817,201.02598702018875
LI,AGX,2024-07-31 12:25:05.350334,single,25,0.06043510035758098,209.76417949946745
LI,AGX,2024-07-31 12:25:10.490259,single,15,0.059336280351079504,219.67793881763433
LI,AGX,2024-07-31 12:25:15.633374,single,20,0.0582767039162388,206.38255905016115
LI,AGX,2024-07-31 12:25:20.761798,single,15,0.05725430560191882,212.0145783398409
LI,AGX,2024-07-31 12:25:25.916263,single,10,0.05667767143308442,202.0105637722316
