service,device_type,timestamp,pixel,fps,pv,surprise
QR,AGX,2024-07-31 00:32:07.894588,720,15,1.0,4005.622031789662
QR,AGX,2024-07-31 00:32:07.894624,720,15,0.996842105263158,1640.1717118894517
QR,AGX,2024-07-31 00:32:07.894636,480,5,0.9978947368421053,1626.700713200101
QR,AGX,2024-07-31 00:32:07.894667,480,5,0.998421052631579,5835.231199662377
QR,AGX,2024-07-31 00:32:07.894676,480,25,0.9954781863007826,1704.686127499558
QR,AGX,2024-07-31 00:32:07.894685,1080,5,0.9810803067658037,144.465389946468
QR,AGX,2024-07-31 00:32:07.894693,1080,5,0.8455342721587072,269.7774399951917
QR,AGX,2024-07-31 00:32:07.894700,1080,25,0.7398424881388688,280.3068361531026
QR,AGX,2024-07-31 00:32:07.894708,1080,25,0.748546858143641,159.91142617402028
QR,AGX,2024-07-31 00:32:07.894716,480,5,0.7736921723292769,143.53003117458456
QR,AGX,2024-07-31 00:32:07.894723,480,5,0.7942656112084335,207.4698540759413
QR,AGX,2024-07-31 00:32:07.894730,720,15,0.8114101436077307,209.0448545890261
QR,AGX,2024-07-31 00:32:07.894738,720,15,0.8239446690501341,223.0525782579818
QR,AGX,2024-07-31 00:32:07.894745,480,25,0.8365200498322674,210.3014645917155
QR,AGX,2024-07-31 00:32:07.894752,480,25,0.8457093114673812,209.75086946471689
QR,AGX,2024-07-31 00:32:07.894759,480,25,0.853120336643527,215.9133631693747
QR,AGX,2024-07-31 00:32:07.894767,720,15,0.8595816676034939,196.93172701813378
QR,AGX,2024-07-31 00:32:07.894774,720,15,0.8623321810194614,159.1549780674012
QR,AGX,2024-07-31 00:32:07.894782,480,5,0.8695778557026477,143.53003117458456
QR,AGX,2024-07-31 00:32:07.894790,480,5,0.8760989629175153,206.37872102356897
QR,AGX,2024-07-31 00:32:07.894797,480,25,0.8819990123023955,205.28576247474714
QR,AGX,2024-07-31 00:32:07.894804,480,25,0.886226329925014,210.7924573466123
QR,AGX,2024-07-31 00:32:07.894812,480,25,0.8901125658455595,210.9065743084181
QR,AGX,2024-07-31 00:32:07.894819,480,25,0.8936228328669517,207.4904373576631
QR,AGX,2024-07-31 00:32:07.894826,480,25,0.8968779195522737,208.7244485190859
QR,AGX,2024-07-31 00:32:07.894834,480,25,0.8998826149541094,208.63107439509395
QR,AGX,2024-07-31 00:32:07.894841,480,25,0.9035906662521053,202.74068032207484
QR,AGX,2024-07-31 00:32:07.894848,480,25,0.9061409996002444,208.58961568961706
QR,AGX,2024-07-31 00:32:07.894856,480,25,0.9085154478898912,208.5703211924652
QR,AGX,2024-07-31 00:32:07.894863,480,25,0.9115649329602282,201.28915746690842
QR,AGX,2024-07-31 00:32:07.894871,480,25,0.9144176770582854,199.8697541621379
QR,AGX,2024-07-31 00:32:07.894878,480,25,0.9163108746502138,208.5703211924652
QR,AGX,2024-07-31 00:32:07.894885,480,25,0.9180893329941467,208.56105061477348
QR,AGX,2024-07-31 00:32:07.894893,480,25,0.9204984702590248,201.25703244548555
QR,AGX,2024-07-31 00:32:07.894900,480,25,0.9220373418047375,207.1424504355385
QR,AGX,2024-07-31 00:32:07.894907,480,25,0.9235085267546059,208.56105061477348
QR,AGX,2024-07-31 00:32:07.894915,480,25,0.9249001881936707,208.55651187956818
QR,AGX,2024-07-31 00:32:07.894922,480,25,0.9268764990306794,198.3690608237079
QR,AGX,2024-07-31 00:32:07.894929,480,25,0.9287514605939953,201.2409728363453
QR,AGX,2024-07-31 00:32:07.894936,480,25,0.9299076740791452,208.55651187956818
QR,AGX,2024-07-31 00:32:07.894944,480,25,0.9310223590064237,209.93850436881155
QR,AGX,2024-07-31 00:32:07.894952,480,25,0.9320839636990699,209.9367803462355
