service,device_type,timestamp,pixel,fps,pv,surprise
QR,NX,2024-07-31 13:22:31.139732,720,15,1.0,271.25400504067466
QR,NX,2024-07-31 13:22:36.216245,480,5,0.9791666666666667,192.4912354644802
QR,NX,2024-07-31 13:22:41.411777,480,25,0.9861111111111112,317.73123186950534
QR,NX,2024-07-31 13:22:46.533351,1080,25,0.7395833333333334,515.2903419093517
QR,NX,2024-07-31 13:22:51.599896,1080,5,0.7833333333333334,192.01407615814452
QR,NX,2024-07-31 13:22:56.774379,1080,20,0.6551251956181534,507.2644838702135
QR,NX,2024-07-31 13:23:01.948322,720,25,0.7029352988680382,322.0295465750017
QR,NX,2024-07-31 13:23:07.068469,1080,15,0.7078714168125637,329.0780296073228
QR,NX,2024-07-31 13:23:12.222290,1080,20,0.6292190371667233,510.75444929720203
QR,NX,2024-07-31 13:23:17.341750,1080,25,0.566297133450051,504.25249242377254
QR,NX,2024-07-31 13:23:22.462082,1080,20,0.52218658323469,479.1453240346598
QR,NX,2024-07-31 13:23:27.577114,1080,25,0.4786710346317992,486.86562069644583
QR,NX,2024-07-31 13:23:32.714668,720,20,0.5178351764331055,300.43967207721437
QR,NX,2024-07-31 13:23:37.838184,1080,20,0.502275520973598,450.08165111460926
QR,NX,2024-07-31 13:23:42.963505,480,20,0.5346341076412017,299.05736853085415
QR,NX,2024-07-31 13:23:48.087812,1080,25,0.5020528092469599,485.73500435014046
QR,NX,2024-07-31 13:23:53.207763,1080,20,0.48428499693831517,450.2312734416776
QR,NX,2024-07-31 13:23:58.338145,480,15,0.5120539962265745,272.3128182498971
QR,NX,2024-07-31 13:24:03.464038,1080,25,0.4858450757431893,464.65685389619324
QR,NX,2024-07-31 13:24:08.584202,720,10,0.5104164583196662,238.9929614495988
QR,NX,2024-07-31 13:24:13.758836,1080,20,0.4867632284062052,474.8247364078493
QR,NX,2024-07-31 13:24:18.874826,1080,10,0.5091040302770694,242.8826516814924
QR,NX,2024-07-31 13:24:24.006383,1080,25,0.48759019045135826,456.8970945499576
QR,NX,2024-07-31 13:24:29.112547,480,10,0.5079936294855821,238.94879328406108
QR,NX,2024-07-31 13:24:34.231229,1080,20,0.4882294398617144,467.18037818042944
QR,NX,2024-07-31 13:24:39.355562,1080,25,0.4694513844824177,488.19577206850647
QR,NX,2024-07-31 13:24:44.479474,1080,20,0.45206429616825405,462.6809018541245
QR,NX,2024-07-31 13:24:49.561866,720,5,0.47014533320986407,191.6272283006918
QR,NX,2024-07-31 13:24:54.695412,1080,25,0.4544057917245924,463.10470206135767
QR,NX,2024-07-31 13:24:59.837774,480,25,0.4722486227220888,316.4705732048352
QR,NX,2024-07-31 13:25:04.974161,480,25,0.4892728606987956,314.87731190207603
QR,NX,2024-07-31 13:25:10.159143,480,25,0.5052330838019582,313.29776827657383
QR,NX,2024-07-31 13:25:15.302093,1080,25,0.49031149074191444,480.0423448028497
QR,NX,2024-07-31 13:25:20.446252,480,25,0.5049991151803724,315.4338726396286
QR,NX,2024-07-31 13:25:25.572246,1080,20,0.4909465088819858,477.3301468353801
QR,NX,2024-07-31 13:25:30.741624,480,25,0.5048034369232458,316.437263672157
QR,NX,2024-07-31 13:25:35.860526,1080,20,0.49116010079018513,466.86462915985686
QR,NX,2024-07-31 13:25:41.044705,480,25,0.5042765016465838,313.6854746710295
QR,NX,2024-07-31 13:25:46.195810,480,25,0.5169873605787226,313.37769664575217
QR,NX,2024-07-31 13:25:51.317921,1080,25,0.5044051423176792,458.5770971638059
QR,NX,2024-07-31 13:25:56.474618,480,25,0.5162387567326951,313.12423411277916
QR,NX,2024-07-31 13:26:01.651721,1080,20,0.5042735156232735,461.66235801631615
QR,NX,2024-07-31 13:26:06.826742,480,25,0.5155622878564412,314.1645331501568
QR,NX,2024-07-31 13:26:11.947589,1080,25,0.5041520884395564,460.8495227853234
QR,NX,2024-07-31 13:26:17.120214,480,25,0.5149418358442215,313.8831923666767
QR,NX,2024-07-31 13:26:22.249849,1080,25,0.5040226269747405,478.46440801908886
QR,NX,2024-07-31 13:26:27.416869,480,25,0.5143559906912245,313.65854642215464
QR,NX,2024-07-31 13:26:32.537363,1080,20,0.5036402408851574,459.6473456605606
QR,NX,2024-07-31 13:26:37.712321,480,25,0.5135596384517763,313.534672668998
QR,NX,2024-07-31 13:26:42.850475,1080,25,0.5035701358235858,446.61166185693753
QR,NX,2024-07-31 13:26:53.133640,480,25,0.5132035016872762,415.46085199661565
QR,NX,2024-07-31 13:26:58.281743,480,25,0.5225649728086748,310.68284845064227
QR,NX,2024-07-31 13:27:03.428086,480,25,0.5315731808688884,310.51311001414854
QR,NX,2024-07-31 13:27:08.570453,480,25,0.5402477515935387,311.5543638435845
QR,NX,2024-07-31 13:27:13.731578,480,25,0.548606883382747,310.18669685089884
QR,NX,2024-07-31 13:27:18.893939,480,25,0.5566674747509123,312.4305961225091
QR,NX,2024-07-31 13:27:24.057365,480,25,0.5644452383517734,311.0781283995044
