service,ip,device_type,timestamp,expected,reality,evidence,v1,v2
QR-1,192.168.31.205,NX,2024-07-06 14:57:50.576950,0.9607954516247171,1.0,0.06920454837528286,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:51.084132,0.9607954516247171,1.0,0.07920454837528286,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:51.592854,0.9607954516247171,1.0,0.09920454837528286,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:52.101465,0.9607954516247171,1.0,0.11920454837528287,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:52.610365,0.9607954516247171,1.0,0.13920454837528287,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:53.119063,0.9607954516247171,1.0,0.16920454837528287,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:53.627826,0.9607954516247171,1.0,0.17920454837528288,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:54.135918,0.9607954516247171,1.0,0.20920454837528288,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:54.643583,0.9607954516247171,1.0,0.2192045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:55.150558,0.9607954516247171,1.0,0.23920454837528288,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:55.659382,0.9607954516247171,1.0,0.26920454837528285,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:56.166707,0.9607954516247171,1.0,0.27920454837528286,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:56.676119,0.9607954516247171,1.0,0.3092045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:57.185091,0.9607954516247171,1.0,0.3292045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:57.693911,0.9607954516247171,1.0,0.33920454837528285,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:58.202744,0.9607954516247171,1.0,0.3692045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:58.711511,0.9607954516247171,1.0,0.3792045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:59.220158,0.9607954516247171,1.0,0.40920454837528286,,
QR-1,192.168.31.205,NX,2024-07-06 14:57:59.729136,0.9607954516247171,1.0,0.4292045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:00.237092,0.9607954516247171,1.0,0.4492045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:00.745068,0.9607954516247171,1.0,0.46920454837528286,,
