service,ip,device_type,timestamp,cpu,cycle_disabled
CV,192.168.31.205,NX,2024-07-05 12:18:01.625008,12.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:10.181628,0.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:10.398314,42.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:10.608875,16.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:10.821060,15.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:11.031917,11.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:11.243748,8.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:11.454594,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:11.665344,15.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:11.877296,9.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:12.088984,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:12.300446,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:12.511141,11.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:12.722339,16.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:12.933318,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:13.144142,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:13.355797,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:13.566638,11.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:13.778353,12.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:13.991100,8.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:14.204140,10.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:14.415489,8.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:14.627463,11.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:14.838550,15.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:15.049998,6.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:15.261213,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:15.472926,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:15.684566,14.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:15.900999,9.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:16.117329,12.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:16.328052,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:16.540392,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:16.751977,16.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:16.967621,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:17.179098,8.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:17.390650,12.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:17.603847,10.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:17.819349,15.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:18.029937,11.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:18.246882,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:18.461890,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:18.679746,17.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:18.894206,9.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:19.109448,6.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:19.321481,11.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:19.532641,9.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:19.743936,14.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:19.954950,10.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:20.168450,5.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:20.379878,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:20.592088,11.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:20.804494,11.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:21.015714,10.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:21.226691,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:21.440151,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:21.652328,13.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:21.863468,14.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:22.074509,8.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:22.285855,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:22.496852,11.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:22.707652,14.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:22.918445,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:23.130997,12.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:23.342879,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:23.554259,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:23.765909,15.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:23.977406,7.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:24.190286,8.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:24.404259,9.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:24.621572,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:24.837959,12.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:25.049850,9.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:25.262528,7.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:25.473646,7.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:25.684501,15.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:25.895544,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:26.106537,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:26.318663,10.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:26.531579,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:26.747405,16.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:26.959233,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:27.170818,8.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:27.381913,8.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:27.595919,11.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:27.807592,15.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:28.018487,9.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:28.229829,10.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:28.440631,7.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:28.652512,13.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:28.863817,13.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:29.075179,7.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:29.287660,10.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:29.499129,10.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:29.710207,15.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:29.921669,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:30.135239,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:30.347312,10.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:30.561226,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:30.772741,16.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:30.983783,8.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:31.195389,10.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:31.406622,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:31.617910,8.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:31.828774,17.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:32.041146,8.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:32.252014,7.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:32.463524,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:32.674312,15.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:32.885333,13.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:33.099210,8.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:33.311373,9.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:33.523341,9.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:33.734606,14.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:33.947463,10.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:34.159369,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:34.370710,7.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:34.582451,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:34.795798,14.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:35.009422,7.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:35.227125,12.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:35.443936,8.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:35.657319,11.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:35.870562,13.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:36.082149,14.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:36.293878,6.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:36.505210,10.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:36.715771,15.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:36.930254,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:37.140835,12.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:37.352173,8.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:37.564447,8.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:37.775616,17.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:37.987229,9.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:38.199269,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:38.418617,12.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:38.630470,8.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:38.842804,10.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:39.054136,10.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:39.265175,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:39.477168,6.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:39.689085,17.2,False
