service,ip,device_type,timestamp,category,time_ms,other_members
QR,192.168.31.183,AGX,2024-07-04 19:00:01.655700,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:01.655935,0,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:02.660349,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:02.660615,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:03.666609,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:03.666877,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:04.672761,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:04.673041,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:05.678668,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:05.678949,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:06.684475,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:06.685370,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:07.691111,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:07.691387,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:08.697104,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:08.697369,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:09.702716,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:09.702968,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:10.708719,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:10.708996,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:11.714713,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:11.714984,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:12.720598,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:12.720906,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:13.726860,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:13.727131,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:14.733015,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:14.733364,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:15.739051,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:15.739321,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:16.745256,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:16.745522,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:17.751512,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:17.751786,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:18.757673,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:18.757948,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:19.763608,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:19.763982,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:20.769682,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:20.769963,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:21.775502,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:21.775776,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:22.780405,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:22.780708,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:23.786562,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:23.786840,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:24.792412,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:24.792706,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:25.798572,2,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:25.798826,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:27.053013,1,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:27.053300,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:28.059258,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:28.059531,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:29.065399,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:29.065670,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:30.071639,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:30.071930,1,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:31.078501,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:31.078782,2,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:32.085865,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:32.086141,2,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:33.093102,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:33.093824,2,offloading,0
QR,192.168.31.183,AGX,2024-07-04 19:00:34.428384,3,training,0
QR,192.168.31.183,AGX,2024-07-04 19:00:34.428562,330,offloading,1
QR,192.168.31.183,AGX,2024-07-04 19:00:35.668842,2,training,1
QR,192.168.31.183,AGX,2024-07-04 19:00:35.669133,236,offloading,1
QR,192.168.31.183,AGX,2024-07-04 19:00:36.882127,1,training,1
QR,192.168.31.183,AGX,2024-07-04 19:00:36.882306,209,offloading,1
QR,192.168.31.183,AGX,2024-07-04 19:00:38.103167,1,training,1
QR,192.168.31.183,AGX,2024-07-04 19:00:38.103319,217,offloading,1
QR,192.168.31.183,AGX,2024-07-04 19:00:39.426183,1,training,1
QR,192.168.31.183,AGX,2024-07-04 19:00:39.426338,319,offloading,1
QR,192.168.31.183,AGX,2024-07-04 19:00:40.685074,1,training,1
QR,192.168.31.183,AGX,2024-07-04 19:00:40.685981,255,offloading,1
QR,192.168.31.183,AGX,2024-07-04 19:00:41.911656,1,training,1
QR,192.168.31.183,AGX,2024-07-04 19:00:41.912090,222,offloading,1
QR,192.168.31.183,AGX,2024-07-04 19:00:43.306928,1,training,1
QR,192.168.31.183,AGX,2024-07-04 19:00:43.307130,391,offloading,1
QR,192.168.31.183,AGX,2024-07-04 19:00:44.573975,2,training,1
