service,ip,device_type,timestamp,category,time_ms,other_members
QR,192.168.31.205,NX,2024-07-04 19:00:05.100477,1,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:05.100627,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:06.106117,2,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:06.106612,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:07.111214,1,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:07.111352,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:08.117568,3,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:08.117836,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:09.122809,2,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:09.123059,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:10.127277,1,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:10.127428,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:11.131982,2,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:11.132123,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:12.137095,3,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:12.137294,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:13.143666,3,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:13.143931,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:14.149711,3,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:14.150004,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:15.156821,1,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:15.156962,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:16.161500,2,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:16.161666,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:17.169150,3,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:17.169431,3,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:18.175876,3,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:18.176141,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:19.182661,3,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:19.182947,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:20.190154,2,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:20.190339,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:21.196121,2,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:21.196424,1,offloading,0
QR,192.168.31.205,NX,2024-07-04 19:00:22.200813,1,training,0
QR,192.168.31.205,NX,2024-07-04 19:00:22.200961,1,offloading,0
