service,ip,device_type,timestamp,cpu
CV,192.168.31.183,AGX,2024-07-05 12:18:01.554424,4.2
CV,192.168.31.183,AGX,2024-07-05 12:18:11.034052,0.0
CV,192.168.31.183,AGX,2024-07-05 12:18:11.250918,26.0
CV,192.168.31.183,AGX,2024-07-05 12:18:11.468824,12.0
CV,192.168.31.183,AGX,2024-07-05 12:18:11.688137,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:11.906001,6.9
CV,192.168.31.183,AGX,2024-07-05 12:18:12.123366,7.4
CV,192.168.31.183,AGX,2024-07-05 12:18:12.342447,8.0
CV,192.168.31.183,AGX,2024-07-05 12:18:12.560568,7.3
CV,192.168.31.183,AGX,2024-07-05 12:18:12.776397,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:12.995813,8.8
CV,192.168.31.183,AGX,2024-07-05 12:18:13.214845,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:13.434035,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:13.652919,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:13.872485,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:14.089256,10.0
CV,192.168.31.183,AGX,2024-07-05 12:18:14.308390,7.5
CV,192.168.31.183,AGX,2024-07-05 12:18:14.528198,7.1
CV,192.168.31.183,AGX,2024-07-05 12:18:14.747525,5.6
CV,192.168.31.183,AGX,2024-07-05 12:18:14.966887,8.4
CV,192.168.31.183,AGX,2024-07-05 12:18:15.185001,7.8
CV,192.168.31.183,AGX,2024-07-05 12:18:15.398543,3.8
CV,192.168.31.183,AGX,2024-07-05 12:18:15.617698,5.5
CV,192.168.31.183,AGX,2024-07-05 12:18:15.836994,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:16.052644,8.2
CV,192.168.31.183,AGX,2024-07-05 12:18:16.271939,8.2
CV,192.168.31.183,AGX,2024-07-05 12:18:16.491405,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:16.711240,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:16.930753,8.0
CV,192.168.31.183,AGX,2024-07-05 12:18:17.150194,7.6
CV,192.168.31.183,AGX,2024-07-05 12:18:17.369379,7.5
CV,192.168.31.183,AGX,2024-07-05 12:18:17.588936,6.7
CV,192.168.31.183,AGX,2024-07-05 12:18:17.808488,5.9
CV,192.168.31.183,AGX,2024-07-05 12:18:18.027792,9.2
CV,192.168.31.183,AGX,2024-07-05 12:18:18.247028,7.3
CV,192.168.31.183,AGX,2024-07-05 12:18:18.466863,4.6
CV,192.168.31.183,AGX,2024-07-05 12:18:18.686169,6.5
CV,192.168.31.183,AGX,2024-07-05 12:18:18.905641,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:19.124523,8.7
CV,192.168.31.183,AGX,2024-07-05 12:18:19.343998,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:19.563637,5.4
CV,192.168.31.183,AGX,2024-07-05 12:18:19.782762,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:20.002444,9.4
CV,192.168.31.183,AGX,2024-07-05 12:18:20.222015,6.2
CV,192.168.31.183,AGX,2024-07-05 12:18:20.441518,5.4
CV,192.168.31.183,AGX,2024-07-05 12:18:20.661091,7.4
CV,192.168.31.183,AGX,2024-07-05 12:18:20.880345,6.2
CV,192.168.31.183,AGX,2024-07-05 12:18:21.099751,8.5
CV,192.168.31.183,AGX,2024-07-05 12:18:21.318987,6.7
CV,192.168.31.183,AGX,2024-07-05 12:18:21.538615,6.5
CV,192.168.31.183,AGX,2024-07-05 12:18:21.758094,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:21.977964,8.8
CV,192.168.31.183,AGX,2024-07-05 12:18:22.197723,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:22.417229,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:22.636692,5.6
CV,192.168.31.183,AGX,2024-07-05 12:18:22.856218,6.3
CV,192.168.31.183,AGX,2024-07-05 12:18:23.075421,10.0
CV,192.168.31.183,AGX,2024-07-05 12:18:23.295129,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:23.514299,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:23.733576,5.4
CV,192.168.31.183,AGX,2024-07-05 12:18:23.953154,8.0
CV,192.168.31.183,AGX,2024-07-05 12:18:24.172372,5.8
CV,192.168.31.183,AGX,2024-07-05 12:18:24.391736,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:24.611352,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:24.830739,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:25.049794,9.2
CV,192.168.31.183,AGX,2024-07-05 12:18:25.269313,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:25.488793,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:25.708257,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:25.927597,8.7
CV,192.168.31.183,AGX,2024-07-05 12:18:26.147282,7.0
CV,192.168.31.183,AGX,2024-07-05 12:18:26.366763,7.1
CV,192.168.31.183,AGX,2024-07-05 12:18:26.586327,4.6
CV,192.168.31.183,AGX,2024-07-05 12:18:26.805913,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:27.020121,9.8
CV,192.168.31.183,AGX,2024-07-05 12:18:27.239856,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:27.459405,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:27.678790,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:27.898765,5.5
CV,192.168.31.183,AGX,2024-07-05 12:18:28.118617,8.4
CV,192.168.31.183,AGX,2024-07-05 12:18:28.338610,7.1
CV,192.168.31.183,AGX,2024-07-05 12:18:28.558106,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:28.777485,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:28.996818,9.5
CV,192.168.31.183,AGX,2024-07-05 12:18:29.216042,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:29.435745,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:29.655559,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:29.875173,6.0
CV,192.168.31.183,AGX,2024-07-05 12:18:30.093948,8.5
CV,192.168.31.183,AGX,2024-07-05 12:18:30.313489,7.5
CV,192.168.31.183,AGX,2024-07-05 12:18:30.533383,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:30.752859,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:30.967462,7.3
CV,192.168.31.183,AGX,2024-07-05 12:18:31.186544,7.5
CV,192.168.31.183,AGX,2024-07-05 12:18:31.405877,5.6
CV,192.168.31.183,AGX,2024-07-05 12:18:31.625749,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:31.845160,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:32.064243,8.7
CV,192.168.31.183,AGX,2024-07-05 12:18:32.283981,7.2
CV,192.168.31.183,AGX,2024-07-05 12:18:32.503240,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:32.722644,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:32.942112,7.6
CV,192.168.31.183,AGX,2024-07-05 12:18:33.161327,7.2
CV,192.168.31.183,AGX,2024-07-05 12:18:33.380705,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:33.600412,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:33.820349,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:34.039431,9.3
CV,192.168.31.183,AGX,2024-07-05 12:18:34.259300,4.8
CV,192.168.31.183,AGX,2024-07-05 12:18:34.478520,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:34.697896,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:34.917407,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:35.131165,6.9
CV,192.168.31.183,AGX,2024-07-05 12:18:35.346811,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:35.560831,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:35.774033,4.6
CV,192.168.31.183,AGX,2024-07-05 12:18:35.987217,8.0
CV,192.168.31.183,AGX,2024-07-05 12:18:36.201048,7.4
CV,192.168.31.183,AGX,2024-07-05 12:18:36.414917,4.7
CV,192.168.31.183,AGX,2024-07-05 12:18:36.629086,6.6
CV,192.168.31.183,AGX,2024-07-05 12:18:36.842701,3.3
CV,192.168.31.183,AGX,2024-07-05 12:18:37.055943,8.6
CV,192.168.31.183,AGX,2024-07-05 12:18:37.271296,7.1
CV,192.168.31.183,AGX,2024-07-05 12:18:37.485098,5.1
CV,192.168.31.183,AGX,2024-07-05 12:18:37.698269,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:37.911785,6.2
