service,delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
CV,254.16278839111328,25,720,2024-06-13 17:09:58.398608,Laptop,28.4,82.1734946816771,20,0
CV,67.74234771728516,25,720,2024-06-13 17:09:58.474607,Laptop,77.6,82.39134836341906,24,0
CV,64.96143341064453,25,720,2024-06-13 17:09:58.575192,Laptop,84.2,82.50415755052455,24,0
CV,75.32596588134766,25,720,2024-06-13 17:09:58.667357,Laptop,87.1,82.50415755052455,24,0
CV,81.19606971740723,25,720,2024-06-13 17:09:58.762261,Laptop,83.2,82.49055705279794,24,0
CV,84.02705192565918,25,720,2024-06-13 17:09:58.859276,Laptop,83.6,82.50068063918162,24,0
CV,85.0226879119873,25,720,2024-06-13 17:09:58.956719,Laptop,83.1,82.50652873034501,24,0
CV,84.52534675598145,25,720,2024-06-13 17:09:59.055044,Laptop,82.8,82.51236453560259,24,0
CV,84.75685119628906,25,720,2024-06-13 17:09:59.153669,Laptop,83.7,82.50160208211703,24,0
CV,92.44823455810547,25,720,2024-06-13 17:09:59.261113,Laptop,86.7,82.49468511714856,24,0
CV,92.19551086425781,25,720,2024-06-13 17:09:59.369525,Laptop,83.2,82.51229082016775,24,0
CV,96.67420387268066,25,720,2024-06-13 17:09:59.481067,Laptop,87.9,82.51947807506393,24,0
CV,114.74776268005371,25,720,2024-06-13 17:09:59.624276,Laptop,89.0,82.52091552604317,25,0
CV,93.92094612121582,25,720,2024-06-13 17:09:59.736629,Laptop,90.4,82.51199595842843,25,0
CV,92.59295463562012,25,720,2024-06-13 17:09:59.853523,Laptop,87.5,82.4877435803685,24,0
CV,93.5509204864502,25,720,2024-06-13 17:09:59.960324,Laptop,84.8,82.49074134138502,24,0
CV,100.41666030883789,25,720,2024-06-13 17:10:00.075522,Laptop,92.5,82.48166205699481,25,0
CV,96.7416763305664,25,720,2024-06-13 17:10:00.187779,Laptop,93.3,82.48925474678256,25,0
CV,102.60868072509766,25,720,2024-06-13 17:10:00.310759,Laptop,89.8,82.49504140841692,25,0
CV,106.0171127319336,25,720,2024-06-13 17:10:00.436016,Laptop,88.3,82.38143363743407,24,0
CV,97.43213653564453,25,720,2024-06-13 17:10:00.554063,Laptop,83.2,82.38502112192926,24,0
CV,89.90836143493652,25,720,2024-06-13 17:10:00.658753,Laptop,85.6,82.38790830979353,24,0
CV,95.77298164367676,25,720,2024-06-13 17:10:00.770057,Laptop,88.8,82.39939563172162,25,0
CV,90.77739715576172,25,720,2024-06-13 17:10:00.878222,Laptop,89.6,82.39939563172162,25,0
CV,92.60940551757812,25,720,2024-06-13 17:10:00.989067,Laptop,90.5,82.40240567864396,25,0
CV,92.2694206237793,25,720,2024-06-13 17:10:01.096494,Laptop,88.4,82.39127464798422,24,0
CV,98.25682640075684,25,720,2024-06-13 17:10:01.220741,Laptop,88.7,82.3957467176974,25,0
CV,101.06563568115234,25,720,2024-06-13 17:10:01.338497,Laptop,91.6,82.43305901362851,25,0
CV,93.14966201782227,25,720,2024-06-13 17:10:01.452970,Laptop,83.4,82.35799212915731,24,0
CV,85.18671989440918,25,720,2024-06-13 17:10:01.552513,Laptop,85.5,82.36401222300196,24,0
CV,80.61075210571289,25,720,2024-06-13 17:10:01.650434,Laptop,84.5,82.34898656020192,24,0
CV,81.00104331970215,25,720,2024-06-13 17:10:01.748831,Laptop,84.9,82.36052302575322,24,0
CV,84.47003364562988,25,720,2024-06-13 17:10:01.848842,Laptop,86.3,82.34931827965866,24,0
CV,86.06982231140137,25,720,2024-06-13 17:10:01.953239,Laptop,88.9,82.35318833998738,25,0
CV,84.71417427062988,25,720,2024-06-13 17:10:02.056340,Laptop,85.4,82.33790467316541,24,0
CV,84.04016494750977,25,720,2024-06-13 17:10:02.155001,Laptop,88.7,82.34774568371557,25,0
CV,92.07534790039062,25,720,2024-06-13 17:10:02.267974,Laptop,88.2,82.35192289168943,24,0
