delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
9235.419034957886,25,480,2024-06-04 15:51:40.833554,Orin,20,33,14354,89.2
31.148672103881836,25,480,2024-06-04 15:51:40.899628,Orin,43,33,14354,89.2
36.60726547241211,25,480,2024-06-04 15:51:40.978529,Orin,34,33,14354,89.2
36.36741638183594,25,480,2024-06-04 15:51:41.051891,Orin,36,33,14354,89.2
33.88571739196777,25,480,2024-06-04 15:51:41.121560,Orin,28,33,14354,89.2
45.00079154968262,25,480,2024-06-04 15:51:41.208399,Orin,34,33,14354,89.2
39.9022102355957,25,480,2024-06-04 15:51:41.283983,Orin,33,33,14354,89.2
30.8077335357666,25,480,2024-06-04 15:51:41.347339,Orin,36,33,14354,89.2
34.94453430175781,25,480,2024-06-04 15:51:41.425629,Orin,25,33,14354,89.2
29.88433837890625,25,480,2024-06-04 15:51:41.496078,Orin,26,33,14354,89.2
31.62550926208496,25,480,2024-06-04 15:51:41.574004,Orin,19,33,14354,89.2
31.498432159423828,25,480,2024-06-04 15:51:41.649257,Orin,19,33,14354,89.2
35.53366661071777,25,480,2024-06-04 15:51:41.728962,Orin,22,33,14354,89.2
39.707183837890625,25,480,2024-06-04 15:51:41.809957,Orin,20,33,14354,89.2
45.40085792541504,25,480,2024-06-04 15:51:41.893338,Orin,20,33,14354,89.2
33.185482025146484,25,480,2024-06-04 15:51:41.960594,Orin,20,33,14354,89.2
30.202388763427734,25,480,2024-06-04 15:51:42.032926,Orin,22,33,14354,89.2
31.15248680114746,25,480,2024-06-04 15:51:42.111674,Orin,23,33,14354,89.2
33.38789939880371,25,480,2024-06-04 15:51:42.188956,Orin,19,33,14354,89.2
32.65190124511719,25,480,2024-06-04 15:51:42.264903,Orin,23,33,14354,89.2
33.274173736572266,25,480,2024-06-04 15:51:42.344582,Orin,19,33,14354,89.2
47.094106674194336,25,480,2024-06-04 15:51:42.432969,Orin,16,33,14354,89.2
35.73012351989746,25,480,2024-06-04 15:51:42.504215,Orin,21,33,14354,89.2
31.038761138916016,25,480,2024-06-04 15:51:42.576051,Orin,18,33,14354,89.2
27.8928279876709,25,480,2024-06-04 15:51:42.648803,Orin,20,33,14354,89.2
31.16130828857422,25,480,2024-06-04 15:51:42.727152,Orin,20,33,14354,89.2
37.98317909240723,25,480,2024-06-04 15:51:42.809317,Orin,30,33,14354,89.2
57.489633560180664,25,480,2024-06-04 15:51:42.906302,Orin,25,33,14354,89.2
33.914804458618164,25,480,2024-06-04 15:51:42.976565,Orin,33,33,14354,89.2
31.833171844482422,25,480,2024-06-04 15:51:43.055294,Orin,30,33,14354,89.2
36.12184524536133,25,480,2024-06-04 15:51:43.137137,Orin,22,33,14354,89.2
34.963130950927734,25,480,2024-06-04 15:51:43.211561,Orin,20,33,14354,89.2
53.324222564697266,25,480,2024-06-04 15:51:43.308233,Orin,15,33,14354,89.2
35.54725646972656,25,480,2024-06-04 15:51:43.380315,Orin,20,33,14354,89.2
29.24633026123047,25,480,2024-06-04 15:51:43.447438,Orin,18,33,14354,89.2
32.64760971069336,25,480,2024-06-04 15:51:43.525939,Orin,25,33,14354,89.2
37.000417709350586,25,480,2024-06-04 15:51:43.608145,Orin,30,33,14354,89.2
48.007965087890625,25,480,2024-06-04 15:51:43.695564,Orin,20,33,14354,89.2
57.13486671447754,25,480,2024-06-04 15:51:43.790817,Orin,16,33,14354,89.2
52.37722396850586,25,480,2024-06-04 15:51:43.878750,Orin,19,33,14354,89.2
54.157257080078125,25,480,2024-06-04 15:51:43.968026,Orin,20,33,14354,89.2
44.80481147766113,25,480,2024-06-04 15:51:44.048044,Orin,29,33,14354,89.2
49.15308952331543,25,480,2024-06-04 15:51:44.128985,Orin,20,33,14354,89.2
47.02496528625488,25,480,2024-06-04 15:51:44.213337,Orin,16,33,14354,89.2
48.38442802429199,25,480,2024-06-04 15:51:44.294652,Orin,14,33,14354,89.2
48.88439178466797,25,480,2024-06-04 15:51:44.380402,Orin,20,33,14354,89.2
47.76334762573242,25,480,2024-06-04 15:51:44.464897,Orin,16,33,14354,89.2
39.89577293395996,25,480,2024-06-04 15:51:44.542347,Orin,18,33,14354,89.2
42.09494590759277,25,480,2024-06-04 15:51:44.620637,Orin,19,33,14354,89.2
45.432329177856445,25,480,2024-06-04 15:51:44.700598,Orin,18,33,14354,89.2
46.532392501831055,25,480,2024-06-04 15:51:44.782630,Orin,19,33,14354,89.2
47.9276180267334,25,480,2024-06-04 15:51:44.867475,Orin,17,33,14354,89.2
49.61752891540527,25,480,2024-06-04 15:51:44.953865,Orin,16,33,14354,89.2
49.64566230773926,25,480,2024-06-04 15:51:45.040883,Orin,17,33,14354,89.2
48.317909240722656,25,480,2024-06-04 15:51:45.123769,Orin,15,33,14354,89.2
46.0658073425293,25,480,2024-06-04 15:51:45.206260,Orin,18,33,14354,89.2
47.17588424682617,25,480,2024-06-04 15:51:45.291007,Orin,15,33,14354,89.2
48.12169075012207,25,480,2024-06-04 15:51:45.375875,Orin,16,33,14354,89.2
50.82964897155762,25,480,2024-06-04 15:51:45.467751,Orin,19,33,14354,89.2
44.22473907470703,25,480,2024-06-04 15:51:45.548736,Orin,18,33,14354,89.2
47.79958724975586,25,480,2024-06-04 15:51:45.632317,Orin,18,33,14354,89.2
44.92378234863281,25,480,2024-06-04 15:51:45.714564,Orin,18,33,14354,89.2
48.28834533691406,25,480,2024-06-04 15:51:45.797879,Orin,18,33,14354,89.2
40.68779945373535,25,480,2024-06-04 15:51:45.873921,Orin,18,33,14354,89.2
48.789024353027344,25,480,2024-06-04 15:51:45.959910,Orin,17,33,14354,89.2
40.40384292602539,25,480,2024-06-04 15:51:46.036390,Orin,22,33,14354,89.2
46.85211181640625,25,480,2024-06-04 15:51:46.121068,Orin,16,33,14354,89.2
48.578500747680664,25,480,2024-06-04 15:51:46.205926,Orin,16,33,14354,89.2
48.618316650390625,25,480,2024-06-04 15:51:46.289798,Orin,16,33,14354,89.2
49.088239669799805,25,480,2024-06-04 15:51:46.376592,Orin,17,33,14354,89.2
49.50523376464844,25,480,2024-06-04 15:51:46.460503,Orin,17,33,14354,89.2
49.104928970336914,25,480,2024-06-04 15:51:46.547654,Orin,19,33,14354,89.2
49.62801933288574,25,480,2024-06-04 15:51:46.633757,Orin,18,33,14354,89.2
50.00114440917969,25,480,2024-06-04 15:51:46.721472,Orin,20,33,14354,89.2
46.44441604614258,25,480,2024-06-04 15:51:46.808598,Orin,14,33,14354,89.2
46.95916175842285,25,480,2024-06-04 15:51:46.893662,Orin,17,33,14354,89.2
49.2095947265625,25,480,2024-06-04 15:51:46.980624,Orin,17,33,14354,89.2
48.46668243408203,25,480,2024-06-04 15:51:47.066708,Orin,15,33,14354,89.2
53.54022979736328,25,480,2024-06-04 15:51:47.157214,Orin,26,33,14354,89.2
54.72517013549805,25,480,2024-06-04 15:51:47.250851,Orin,23,33,14354,89.2
55.81521987915039,25,480,2024-06-04 15:51:47.344778,Orin,32,33,14354,89.2
45.80831527709961,25,480,2024-06-04 15:51:47.425514,Orin,28,33,14354,89.2
52.104949951171875,25,480,2024-06-04 15:51:47.513642,Orin,20,33,14354,89.2
51.35798454284668,25,480,2024-06-04 15:51:47.603238,Orin,18,33,14354,89.2
49.85642433166504,25,480,2024-06-04 15:51:47.692521,Orin,18,33,14354,89.2
42.533159255981445,25,480,2024-06-04 15:51:47.772782,Orin,17,33,14354,89.2
48.62403869628906,25,480,2024-06-04 15:51:47.857389,Orin,18,33,14354,89.2
48.82073402404785,25,480,2024-06-04 15:51:47.940544,Orin,14,33,14354,89.2
47.14369773864746,25,480,2024-06-04 15:51:48.025433,Orin,17,33,14354,89.2
48.7973690032959,25,480,2024-06-04 15:51:48.110096,Orin,17,33,14354,89.2
45.13072967529297,25,480,2024-06-04 15:51:48.192542,Orin,16,33,14354,89.2
48.45452308654785,25,480,2024-06-04 15:51:48.278091,Orin,16,33,14354,89.2
46.74243927001953,25,480,2024-06-04 15:51:48.361399,Orin,18,33,14354,89.2
42.208194732666016,25,480,2024-06-04 15:51:48.439853,Orin,15,33,14354,89.2
49.286603927612305,25,480,2024-06-04 15:51:48.527317,Orin,18,33,14354,89.2
44.91567611694336,25,480,2024-06-04 15:51:48.609197,Orin,18,33,14354,89.2
49.71742630004883,25,480,2024-06-04 15:51:48.696444,Orin,16,33,14354,89.2
40.64822196960449,25,480,2024-06-04 15:51:48.773976,Orin,19,33,14354,89.2
38.77663612365723,25,480,2024-06-04 15:51:48.849532,Orin,17,33,14354,89.2
48.797607421875,25,480,2024-06-04 15:51:48.937823,Orin,17,33,14354,89.2
41.83530807495117,25,480,2024-06-04 15:51:49.013232,Orin,19,33,14354,89.2
50.17447471618652,25,480,2024-06-04 15:51:49.101186,Orin,18,33,14354,89.2
42.22440719604492,25,480,2024-06-04 15:51:49.182112,Orin,20,33,14354,89.2
48.74610900878906,25,480,2024-06-04 15:51:49.266504,Orin,21,33,14354,89.2
45.125484466552734,25,480,2024-06-04 15:51:49.349394,Orin,20,33,14354,89.2
48.13838005065918,25,480,2024-06-04 15:51:49.433834,Orin,16,33,14354,89.2
37.0938777923584,25,480,2024-06-04 15:51:49.508370,Orin,21,33,14354,89.2
47.23858833312988,25,480,2024-06-04 15:51:49.597546,Orin,15,33,14354,89.2
47.82438278198242,25,480,2024-06-04 15:51:49.680601,Orin,18,33,14354,89.2
