delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
928.6444187164307,25,480,2024-06-04 14:41:09.828647,Orin,52,31,7,0
618.1092262268066,25,480,2024-06-04 14:41:10.460994,Orin,97,31,7,0
617.0530319213867,25,480,2024-06-04 14:41:11.095185,Orin,98,31,7,0
690.5381679534912,25,480,2024-06-04 14:41:11.797938,Orin,98,31,7,0
443.18437576293945,25,480,2024-06-04 14:41:12.262215,Orin,98,31,7,0
564.6171569824219,25,480,2024-06-04 14:41:12.838990,Orin,98,31,7,0
487.16187477111816,25,480,2024-06-04 14:41:13.338404,Orin,97,31,7,0
630.6002140045166,25,480,2024-06-04 14:41:13.980293,Orin,97,31,7,0
600.114107131958,25,480,2024-06-04 14:41:14.593907,Orin,98,31,7,0
626.5873908996582,25,480,2024-06-04 14:41:15.232431,Orin,98,31,7,0
657.7000617980957,25,480,2024-06-04 14:41:15.901548,Orin,97,31,7,0
610.6784343719482,25,480,2024-06-04 14:41:16.525032,Orin,99,31,7,0
586.2572193145752,25,480,2024-06-04 14:41:17.126143,Orin,97,31,7,0
590.6407833099365,25,480,2024-06-04 14:41:17.728241,Orin,98,31,7,0
509.9022388458252,25,480,2024-06-04 14:41:18.254584,Orin,98,31,7,0
820.5916881561279,25,480,2024-06-04 14:41:19.088450,Orin,97,31,7,0
549.4489669799805,25,480,2024-06-04 14:41:19.653379,Orin,96,31,7,0
586.4095687866211,25,480,2024-06-04 14:41:20.251284,Orin,97,31,7,0
603.2123565673828,25,480,2024-06-04 14:41:20.873438,Orin,98,31,7,0
600.9805202484131,25,480,2024-06-04 14:41:21.485652,Orin,98,31,7,0
606.7476272583008,25,480,2024-06-04 14:41:22.103630,Orin,97,31,7,0
497.32089042663574,25,480,2024-06-04 14:41:22.613621,Orin,98,31,7,0
679.311990737915,25,480,2024-06-04 14:41:23.306313,Orin,99,31,7,0
1072.0057487487793,25,480,2024-06-04 14:41:24.393809,Orin,99,32,7,0
749.3183612823486,25,480,2024-06-04 14:41:25.173280,Orin,99,32,7,0
565.0200843811035,25,480,2024-06-04 14:41:25.750884,Orin,97,32,7,0
770.5550193786621,25,480,2024-06-04 14:41:26.534396,Orin,98,32,7,0
956.3839435577393,25,480,2024-06-04 14:41:27.504982,Orin,99,32,7,0
920.8602905273438,25,480,2024-06-04 14:41:28.448211,Orin,99,32,7,0
750.1447200775146,25,480,2024-06-04 14:41:29.211004,Orin,99,32,7,0
529.0200710296631,25,480,2024-06-04 14:41:29.756748,Orin,98,32,7,0
625.7987022399902,25,480,2024-06-04 14:41:30.395470,Orin,99,32,7,0
700.9673118591309,25,480,2024-06-04 14:41:31.109943,Orin,98,32,7,0
572.6046562194824,25,480,2024-06-04 14:41:31.694369,Orin,98,32,7,0
532.3731899261475,25,480,2024-06-04 14:41:32.238401,Orin,99,32,7,0
648.5795974731445,25,480,2024-06-04 14:41:32.898282,Orin,98,32,7,0
525.9816646575928,25,480,2024-06-04 14:41:33.436329,Orin,98,32,7,0
