delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
12246.84190750122,25,480,2024-06-04 13:49:08.358559,Orin,38,31,10015,99.5
50.691843032836914,25,480,2024-06-04 13:49:08.450753,Orin,57,31,10015,99.5
46.37789726257324,25,480,2024-06-04 13:49:08.530658,Orin,51,31,10015,99.5
46.14853858947754,25,480,2024-06-04 13:49:08.614961,Orin,43,31,10015,99.5
47.85609245300293,25,480,2024-06-04 13:49:08.699173,Orin,45,31,10015,99.5
46.68688774108887,25,480,2024-06-04 13:49:08.784372,Orin,44,31,10015,99.5
48.48432540893555,25,480,2024-06-04 13:49:08.868996,Orin,54,31,10015,99.5
51.583290100097656,25,480,2024-06-04 13:49:08.961700,Orin,50,31,9108,92.1
51.37348175048828,25,480,2024-06-04 13:49:09.050445,Orin,32,31,9108,92.1
53.07435989379883,25,480,2024-06-04 13:49:09.141333,Orin,41,31,9108,92.1
62.65139579772949,25,480,2024-06-04 13:49:09.242977,Orin,40,31,9108,92.1
52.06155776977539,25,480,2024-06-04 13:49:09.333381,Orin,40,31,9108,92.1
74.1431713104248,25,480,2024-06-04 13:49:09.444895,Orin,44,31,9108,92.1
54.79741096496582,25,480,2024-06-04 13:49:09.541249,Orin,45,31,9108,92.1
61.249494552612305,25,480,2024-06-04 13:49:09.640271,Orin,42,31,9108,92.1
59.26012992858887,25,480,2024-06-04 13:49:09.737719,Orin,38,31,9108,92.1
61.420440673828125,25,480,2024-06-04 13:49:09.838996,Orin,48,32,9108,92.1
78.40394973754883,25,480,2024-06-04 13:49:09.954845,Orin,71,32,8204,21.9
60.01091003417969,25,480,2024-06-04 13:49:10.050736,Orin,42,32,8204,21.9
69.9625015258789,25,480,2024-06-04 13:49:10.157890,Orin,47,32,8204,21.9
55.353403091430664,25,480,2024-06-04 13:49:10.248295,Orin,40,32,8204,21.9
71.33722305297852,25,480,2024-06-04 13:49:10.356125,Orin,47,32,8204,21.9
60.595035552978516,25,480,2024-06-04 13:49:10.454115,Orin,53,31,8204,21.9
74.57613945007324,25,480,2024-06-04 13:49:10.566666,Orin,37,31,8204,21.9
54.78787422180176,25,480,2024-06-04 13:49:10.660725,Orin,43,31,8204,21.9
78.57298851013184,25,480,2024-06-04 13:49:10.778264,Orin,42,31,8204,21.9
58.00509452819824,25,480,2024-06-04 13:49:10.873205,Orin,62,31,8204,21.9
69.80276107788086,25,480,2024-06-04 13:49:10.984180,Orin,50,31,8204,98.4
60.78147888183594,25,480,2024-06-04 13:49:11.082593,Orin,47,32,8204,98.4
81.10451698303223,25,480,2024-06-04 13:49:11.202603,Orin,34,32,8204,98.4
59.61036682128906,25,480,2024-06-04 13:49:11.304983,Orin,40,32,8204,98.4
66.62321090698242,25,480,2024-06-04 13:49:11.411512,Orin,38,32,8204,98.4
62.15548515319824,25,480,2024-06-04 13:49:11.516704,Orin,40,32,8204,98.4
74.85055923461914,25,480,2024-06-04 13:49:11.630681,Orin,54,32,8204,98.4
74.58949089050293,25,480,2024-06-04 13:49:11.746144,Orin,54,32,8204,98.4
75.62375068664551,25,480,2024-06-04 13:49:11.859345,Orin,45,31,8204,98.4
55.88936805725098,25,480,2024-06-04 13:49:11.953745,Orin,56,31,8208,98.7
71.13218307495117,25,480,2024-06-04 13:49:12.065025,Orin,38,32,8208,98.7
65.71269035339355,25,480,2024-06-04 13:49:12.170128,Orin,52,32,8208,98.7
75.01745223999023,25,480,2024-06-04 13:49:12.280893,Orin,38,31,8208,98.7
58.35366249084473,25,480,2024-06-04 13:49:12.380866,Orin,45,32,8208,98.7
80.2454948425293,25,480,2024-06-04 13:49:12.501207,Orin,34,32,8208,98.7
